filtered	sample
16227	2017-12-20-3719-PR2-010-a
9	2017-12-20-3719-PR2-010-b
21971	2017-12-20-3720-PR2-008-A
24337	2017-12-20-3720-PR2-008-B
20018	2017-12-20-3728-PR2-008-A
29254	2017-12-20-3728-PR2-008-B
4	2017-12-27-3746-PR2-0062-A
49	2017-12-27-3746-PR2-0062-B
11	2017-12-27-3746-PR2-17-A
16	2017-12-27-3746-PR2-17-B
13	2017-12-27-3747-PR2-0061-A
75	2017-12-27-3747-PR2-0061-B
2	2017-12-27-3754-PR2-010-a
3	2017-12-27-3754-PR2-010-b
0	2017-12-27-3758-PR2-008-A
0	2017-12-27-3758-PR2-008-B
1	2017-12-27-3758-PR2-010-a
8090	2017-12-27-3758-PR2-010-b
2	2017-12-27-3761-PR2-0062-A
19	2017-12-27-3761-PR2-0062-B
721	2017-12-27-3761-PR2-17-A
3338	2017-12-27-3761-PR2-17-B
58	2017-12-27-3762-PR2-0072-A
203	2017-12-27-3762-PR2-0072-B
0	2017-12-27-3766-PR2-0061-A
72	2017-12-27-3766-PR2-0061-B
23985	2017-12-27-3777-PR2-0071-A
9217	2017-12-27-3777-PR2-0071-B
0	2017-12-27-3779-PR2-009-A
0	2017-12-27-3779-PR2-009-B
2	2017-12-27-3779-PR2-010-a
0	2017-12-27-3779-PR2-010-b
41235	2017-12-28-3785-PR2-0072-A
30111	2017-12-28-3785-PR2-0072-B
12748	2017-12-28-3786-PR2-0062-A
13744	2017-12-28-3786-PR2-0062-B
29878	2017-12-28-3787-PR2-0072-A
26587	2017-12-28-3787-PR2-0072-B
1	2017-12-28-3805-PR2-0072-A
197	2017-12-28-3805-PR2-0072-B
16	2017-12-28-3805-PR2-17-B
1	2017-12-28-3807-PR2-010-a
2	2017-12-28-3807-PR2-010-b
7176	2017-12-28-3816-PR2-0071-A
7035	2017-12-28-3816-PR2-0071-B
18170	2017-12-28-3818-PR2-0071-A
14311	2017-12-28-3818-PR2-0071-B
0	2017-12-29-3079-PR2-0072-A
3	2017-12-29-3079-PR2-0072-B
857	2017-12-29-3093-PR2-008-A
0	2017-12-29-3093-PR2-008-B
23582	2017-12-29-3093-PR2-010-a
18505	2017-12-29-3093-PR2-010-b
462	2017-12-29-3095-PR2-0062-A
164	2017-12-29-3095-PR2-0062-B
